Company,Company Description,Market Cap,Stock Price,PE Ratio,EPS,Market Cap Real
31) PepsiCo (PEP),"PepsiCo, Inc., incorporated on November 13, 1986, is a global food and beverage company. The Companys portfolio of brands includes Frito-Lay, Gatorade, Pepsi-Cola, Quaker and Tropicana. As of December 31, ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding PEP",$191.16,$138.06,23.01,4.9,"$191,160,000,000"
32) Abbott Labs (ABT),"Abbott Laboratories, incorporated on March 6, 1900, is engaged in the discovery, development, manufacture and sale of a range of healthcare products. The Company operates through four segments: Established Pharmaceutical ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding ABT",$188.56,$106.50,25.91,1.73,"$188,560,000,000"
33) Oracle (ORCL),"Oracle Corporation (Oracle), incorporated on October 9, 2005, provides products and services that address all aspects of corporate information technology (IT) environments, including application, platform and infrastructure. The Companys businesses ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding ORCL",$177.13,$58.83,12.87,3.18,"$177,130,000,000"
34) Thermo Fisher Scientific (TMO),"Thermo Fisher Scientific Inc., incorporated on October 11, 1960, develops, manufactures and sells a range of products. The Company provides analytical instruments, equipment, reagents and consumables, software and services for ...See Company Profile ...Dividend History ...List of ETFs holding TMO",$172.11,$435.06,25.13,9.24,"$172,110,000,000"
35) McDonald's (MCD),"McDonalds Corporation (McDonalds), incorporated on December 21, 1964, operates and franchises McDonalds restaurants. The Companys restaurants serve a locally relevant menu of food and drinks sold at various price points ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding MCD",$165.69,$222.67,27.32,6.33,"$165,690,000,000"
36) Cisco (CSCO),"Cisco Systems, Inc. (Cisco), incorporated on December 10, 1984, designs and sells a range of products, provides services and delivers integrated solutions to develop and connect networks around the world. ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding CSCO",$162.01,$38.27,11.49,2.64,"$162,010,000,000"
37) Costco (COST),"Costco Wholesale Corporation, incorporated on May 12, 1987, is engaged in the operation of membership warehouses in the United States and Puerto Rico, Canada, the United Kingdom, Mexico, Japan, Australia, ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding COST",$156.65,$355.01,33.49,9.02,"$156,650,000,000"
38) AbbVie (ABBV),"AbbVie Inc. (AbbVie), incorporated on April 10, 2012, is a research-based biopharmaceutical company. The Company is engaged in the discovery, development, manufacture and sale of a range of pharmaceutical products. ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding ABBV",$151.99,$86.12,7.09,4.52,"$151,990,000,000"
39) Danaher (DHR),"Danaher Corporation (Danaher), incorporated on October 3, 1986, designs, manufactures and markets professional, medical, industrial and commercial products and services. As of December 31, 2016, the Companys research and development, ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding DHR",$150.75,$212.50,33.1,4.68,"$150,750,000,000"
40) Broadcom (AVGO),"Broadcom Inc. designs, develops, and supplies a range of semiconductor devices with a focus on complex digital and mixed signal complementary metal oxide semiconductor based devices and analog III-V b...See Company Profile ...Dividend History ...List of ETFs holding AVGO",$144.34,$356.83,14.04,5.32,"$144,340,000,000"
