Company,Company Description,Market Cap,Stock Price,PE Ratio,EPS,Market Cap Real
250) Verisign (VRSN),"VeriSign, Inc., incorporated on April 12, 1995, is a provider of domain name registry services and Internet security, enabling Internet navigation for various domain names and providing protection for Websites ...See Company Profile ...Dividend History ...List of ETFs holding VRSN",$23.22,$202.16,34.56,6.74,"$23,220,000,000"
251) Mettler Toledo (MTD),"Mettler-Toledo International Inc., incorporated on December 6, 1991, is a supplier of precision instruments and services. The Company operates through five segments: U.S. Operations, Swiss Operations, Western European Operations, Chinese ...See Company Profile ...Dividend History ...List of ETFs holding MTD",$23.18,$966.92,36.88,22.31,"$23,180,000,000"
252) Williams Cos (WMB),"The Williams Companies, Inc., incorporated on February 3, 1987, is an energy infrastructure company. The Company is focused on connecting North Americas hydrocarbon resource plays to markets for natural gas, ...See Company Profile ...Dividend History ...List of ETFs holding WMB",$23.17,$19.09,16.89,0.11,"$23,170,000,000"
253) Freeport-McMoRan (FCX),"Freeport-McMoRan Inc. (FCX), incorporated on November 10, 1987, is a mining company. The Company operates through geographical assets with proven and probable reserves of copper, gold and molybdenum, and traded ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding FCX",$23.15,$15.94,10.92,-0.44,"$23,150,000,000"
254) Ametek (AME),"AMETEK, Inc., incorporated on May 8, 1986, is a manufacturer of electronic instruments and electromechanical devices with operations in North America, Europe, Asia and South America. The Company operates through ...See Company Profile ...Dividend History ...List of ETFs holding AME",$23.14,$100.78,24.11,3.86,"$23,140,000,000"
255) Southwest Airlines (LUV),"Southwest Airlines Co. (Southwest), incorporated on March 9, 1967, operates Southwest Airlines, a passenger airline that provides scheduled air transportation in the United States and near-international markets. Southwest provides point-to-point ...See Company Profile ...Dividend History ...List of ETFs holding LUV",$22.86,$38.76,30.28,0.31,"$22,860,000,000"
256) Church and Dwight (CHD),"Church & Dwight Co., Inc., incorporated on December 14, 1925, develops, manufactures and markets a range of household, personal care and specialty products. The Companys segments include Consumer Domestic, Consumer ...See Company Profile ...Dividend History ...List of ETFs holding CHD",$22.55,$91.17,30.49,2.86,"$22,550,000,000"
257) Phillips 66 (PSX),"Phillips 66, incorporated on November 10, 2011, is an energy manufacturing and logistics company with midstream, chemicals, refining, and marketing and specialties businesses. The Company operates through four segments: Midstream, ...See Company Profile ...Dividend History ...List of ETFs holding PSX",$22.30,$51.06,10.82,-2.7,"$22,300,000,000"
258) AvalonBay Communities (AVB),"AvalonBay Communities, Inc., incorporated on March 13, 1995, is a real estate investment trust (REIT). The Company is focused on the development, redevelopment, acquisition, ownership and operation of multifamily communities ...See Company Profile ...Dividend History ...List of ETFs holding AVB",$22.23,$157.94,40.5,5.6,"$22,230,000,000"
259) Kellogg (K),"Kellogg Company, incorporated on December 11, 1922, is a manufacturer and marketer of ready-to-eat cereal and convenience foods. The Companys principal products are ready-to-eat cereals and convenience foods, such as ...See Company Profile ...Dividend History ...List of ETFs holding K",$22.19,$64.71,16.34,3.16,"$22,190,000,000"
260) Realty Income (O),"Realty Income Corporation, incorporated on March 25, 1997, is a real estate investment trust (REIT). The Company is engaged in in-house acquisition, portfolio management, asset management, credit research, real estate ...See Company Profile ...Dividend History ...List of ETFs holding O",$22.03,$63.86,43.74,1.46,"$22,030,000,000"
261) DTE Energy (DTE),"DTE Energy Company (DTE Energy), incorporated on January 26, 1995, is an energy company. The Companys segments include Electric, Gas, Gas Storage and Pipelines, Power and Industrial Projects, Energy Trading, ...See Company Profile ...Dividend History ...List of ETFs holding DTE",$21.99,$114.16,16.06,6.33,"$21,990,000,000"
262) Corteva (CTVA),"Corteva, Inc. provides agriculture products worldwide. The company develops and supplies germplasm and traits in corn, soybean, and sunflower seed markets. It also supplies products to the agricultural input industry that protect against weeds, insects and other pests, and diseases, as well as to enhance crop health. The company is based in Wilmington, Delaware. Corteva, Inc. is a subsidiary of DowDuPont Inc....See Company Profile ...Dividend History ...List of ETFs holding CTVA",$21.99,$29.37,16.5,-1.28,"$21,990,000,000"
263) West Pharmaceutical (WST),"West Pharmaceutical Services, Inc., incorporated on July 27, 1923, is a manufacturer of packaging components and delivery systems for injectable drugs and healthcare products. The Companys products include vial containment ...See Company Profile ...Dividend History ...List of ETFs holding WST",$21.79,$273.85,58.51,3.79,"$21,790,000,000"
264) Cerner (CERN),"Cerner Corporation (Cerner), incorporated on October 6, 1986, is a supplier of healthcare information technology (HCIT). The Company offers a range of intelligent solutions and services that support the clinical, ...See Company Profile ...Dividend History ...List of ETFs holding CERN",$21.74,$71.18,22.11,1.66,"$21,740,000,000"
265) Weyerhaeuser (WY),"Weyerhaeuser Company, one of the world's largest private owners of timberlands, began operations in 1900. We own or control 12.2 million acres of timberlands in the U.S., and manage additional timberl...See Company Profile ...Dividend History ...List of ETFs holding WY",$21.72,$29.11,32.71,0.41,"$21,720,000,000"
266) PPL (PPL),"PPL Corporation (PPL), incorporated on March 15, 1994, is a utility holding company. Through its subsidiaries, PPL delivers electricity to customers in the United Kingdom, Pennsylvania, Kentucky, Virginia and Tennessee; ...See Company Profile ...Dividend History ...List of ETFs holding PPL",$21.69,$28.21,11.47,2.3,"$21,690,000,000"
267) Old Dominion Freight Line (ODFL),"Old Dominion Freight Line, Inc., incorporated on March 22, 1999, is a union-free motor carrier providing regional, inter-regional and national less-than-truckload (LTL) services. The Companys LTL services include ground and ...See Company Profile ...Dividend History ...List of ETFs holding ODFL",$21.66,$184.56,29.48,4.94,"$21,660,000,000"
268) Schlumberger (SLB),"Schlumberger N.V., incorporated on November 6, 1956, provides technology for reservoir characterization, drilling, production and processing to the oil and gas industry. The Companys segments include Reservoir Characterization Group, Drilling ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding SLB",$21.61,$15.57,24.33,-15.77,"$21,610,000,000"
269) Tyson Foods (TSN),"Tyson Foods, Inc., together with its subsidiaries, operates as a food company worldwide. It operates through four segments: Beef, Pork, Chicken, and Prepared Foods. The company processes live fed catt...See Company Profile ...Dividend History ...List of ETFs holding TSN",$21.60,$59.31,10.1,4.97,"$21,600,000,000"
270) Dollar Tree (DLTR),"Dollar Tree, Inc. operates discount variety retail stores in the United States and Canada. It operates through two segments, Dollar Tree and Family Dollar. The Dollar Tree segment offers merchandise a...See Company Profile ...Dividend History ...List of ETFs holding DLTR",$21.54,$90.76,15.68,3.73,"$21,540,000,000"
271) Entergy (ETR),"Entergy Corporation, incorporated on August 19, 1992, is a holding company. The Company is an integrated energy company engaged in electric power production and retail electric distribution operations. The Company ...See Company Profile ...Dividend History ...List of ETFs holding ETR",$21.28,$103.65,17.45,6.13,"$21,280,000,000"
272) State Street (STT),"State Street Corporation, incorporated on October 16, 1969, is a financial holding company. The Company operates through two lines of business: Investment Servicing and Investment Management. The Company, through its ...See Company Profile ...Dividend History ...List of ETFs holding STT",$21.03,$59.68,9.4,6.24,"$21,030,000,000"
273) Simon Property (SPG),"Simon Property Group, Inc., incorporated on March 10, 1998, is a self-administered and self-managed real estate investment trust (REIT). The Company owns, develops and manages retail real estate properties, which ...See Company Profile ...Dividend History ...List of ETFs holding SPG",$20.86,$68.20,12.54,5.69,"$20,860,000,000"
274) Alexandria Real Estate Equities (ARE),"Alexandria Real Estate Equities, Inc. (NYSE:ARE), an S&P 500 company, is an urban office real estate investment trust ...See Company Profile ...Dividend History ...List of ETFs holding ARE",$20.77,$164.71,58.62,3.34,"$20,770,000,000"
275) Equity Residential (EQR),"Equity Residential, incorporated on July 21, 1992, is a real estate investment trust. The Companys primary business is the acquisition, development and management of multifamily residential properties. Its segments include ...See Company Profile ...Dividend History ...List of ETFs holding EQR",$20.51,$55.09,41.73,3.01,"$20,510,000,000"
276) Arthur J. Gallagher (AJG),"Arthur J. Gallagher & Co., incorporated on March 30, 1972, is engaged in providing insurance brokerage and consulting services, and third-party claims settlement and administration services to both domestic and ...See Company Profile ...Dividend History ...List of ETFs holding AJG",$20.34,$106.21,23.5,3.77,"$20,340,000,000"
277) Nasdaq (NDAQ),"Nasdaq, Inc. (Nasdaq), incorporated on November 13, 1979, is a holding company. The Company is a provider of trading, clearing, exchange technology, regulatory, securities listing, information and public company services. ...See Company Profile ...Dividend History ...List of ETFs holding NDAQ",$20.29,$123.54,20.83,4.78,"$20,290,000,000"
278) EOG Resources (EOG),"EOG Resources, Inc., together with its subsidiaries, explores for, develops, produces, and markets crude oil and natural gas. The company's principal producing areas are located in New Mexico, North D...See Company Profile ...Dividend History ...List of ETFs holding EOG",$20.27,$34.81,17.76,0.61,"$20,270,000,000"
279) Delta Air Lines (DAL),"Delta Air Lines, Inc., incorporated on March 16, 1967, provides scheduled air transportation for passengers and cargo throughout the United States and across the world. The Companys segments include Airline ...See Company Profile ...Dividend History ...List of ETFs holding DAL",$20.25,$31.75,36.08,-5.71,"$20,250,000,000"
280) Ameren (AEE),"Ameren Corporation (Ameren), incorporated on August 7, 1995, is a utility holding company. The Companys primary assets are its equity interests in its subsidiaries, including Ameren Missouri, Ameren Illinois and ...See Company Profile ...Dividend History ...List of ETFs holding AEE",$19.72,$79.81,21.23,3.42,"$19,720,000,000"
281) FleetCor (FLT),"FleetCor Technologies, Inc., incorporated on February 3, 1998, is a provider of workforce payment products. The Company offers fuel card payments product solutions, corporate payments products, toll products, lodging cards ...See Company Profile ...Dividend History ...List of ETFs holding FLT",$19.71,$234.46,18.32,8.63,"$19,710,000,000"
282) Edison International (EIX),"Edison International, through its subsidiaries, engages in the generation, transmission, and distribution of electricity in the United States. It generates electricity through hydroelectric, dieselu0...See Company Profile ...Dividend History ...List of ETFs holding EIX",$19.48,$51.50,11.37,3.09,"$19,480,000,000"
283) AmerisourceBergen (ABC),"AmerisourceBergen Corporation, incorporated on March 16, 2001, is a pharmaceutical sourcing and distribution services company. The Companys segments include Pharmaceutical Distribution and Other. The Company provides services to healthcare providers, ...See Company Profile ...Dividend History ...List of ETFs holding ABC",$19.47,$95.38,11.3,7.53,"$19,470,000,000"
284) First Republic Bank (FRC),"First Republic Bank, incorporated on October 15, 2009, is a commercial bank and trust company. The Bank specializes in providing services, including private banking, private business banking, real estate lending ...See Company Profile ...Dividend History ...List of ETFs holding FRC",$19.44,$112.94,20.39,5.3,"$19,440,000,000"
285) Incyte (INCY),"Incyte Corporation, incorporated on April 8, 1991, is a biopharmaceutical company. The Company is focused on the discovery, development and commercialization of therapeutics. The Companys portfolio includes compounds in various ...See Company Profile ...Dividend History ...List of ETFs holding INCY",$19.41,$88.75,23.36,-0.89,"$19,410,000,000"
286) Paycom Software (PAYC),"Paycom Software, Inc., incorporated on October 31, 2013, is a provider of a cloud-based human capital management (HCM) software solution delivered as Software-as-a-Service (SaaS). The Company provides functionality and data ...See Company Profile ...Dividend History ...List of ETFs holding PAYC",$19.41,$331.53,79.5,3.02,"$19,410,000,000"
287) Equifax (EFX),"Equifax Inc., incorporated on December 20, 1913, is a global provider of information solutions and human resources business process outsourcing services for businesses, governments and consumers. The Company operates in ...See Company Profile ...Dividend History ...List of ETFs holding EFX",$19.31,$158.96,25.64,2.45,"$19,310,000,000"
288) WW Grainger (GWW),"W.W. Grainger, Inc. (Grainger), incorporated on December 27, 1928, is a distributor of maintenance, repair and operating (MRO) supplies and other related products and services. The Company offers its products ...See Company Profile ...Dividend History ...List of ETFs holding GWW",$19.25,$359.39,20.08,11.43,"$19,250,000,000"
289) Ameriprise Financial (AMP),"Ameriprise Financial, Inc., incorporated on September 29, 1983, is a diversified financial services company that offers financial solutions to individual and institutional clients. The Company operates in five segments: Advice ...See Company Profile ...Dividend History ...List of ETFs holding AMP",$19.11,$158.85,8.81,19.25,"$19,110,000,000"
290) Fortinet (FTNT),"Fortinet, Inc., incorporated on November 28, 2000, is a network security company. The Company provides cyber security solutions to a range of enterprises, service providers and government organizations across the ...See Company Profile ...Dividend History ...List of ETFs holding FTNT",$18.83,$116.38,33.73,2.39,"$18,830,000,000"
291) Discover Financial (DFS),"Discover Financial Services, through its subsidiaries, operates as a direct banking and payment services company in the United States. The Direct Banking segment offers Discover-branded credit cards t...See Company Profile ...Dividend History ...List of ETFs holding DFS",$18.67,$60.92,10.65,3.24,"$18,670,000,000"
292) Rollins (ROL),"Rollins, Inc., incorporated on February 24, 1948, is a service company, which operates in pest and termite control business segment. The Company, through its subsidiaries, provides its services to both ...See Company Profile ...Dividend History ...List of ETFs holding ROL",$18.66,$54.47,64.08,0.65,"$18,660,000,000"
293) CDW (CDW),"CDW Corporation (CDW), incorporated on May 25, 2007, is a provider of integrated information technology (IT) solutions in the United States, Canada and the United Kingdom. The Companys segments include ...See Company Profile ...Dividend History ...List of ETFs holding CDW",$18.46,$123.49,19.42,5.11,"$18,460,000,000"
294) Marathon Petroleum (MPC),"Marathon Petroleum Corporation, incorporated on November 9, 2009, is engaged in petroleum product refining, marketing, retail and transportation businesses in the United States and the east of the Mississippi. The ...See Company Profile ...Dividend History ...List of ETFs holding MPC",$18.40,$28.27,157.06,-11.83,"$18,400,000,000"
295) Keysight (KEYS),"Keysight Technologies, Inc. (Keysight), incorporated on December 6, 2013, is a measurement company engaged in providing electronic design and test solutions to communications and electronics industries. The Company provides electronic ...See Company Profile ...Dividend History ...List of ETFs holding KEYS",$18.39,$98.27,18.27,3.18,"$18,390,000,000"
296) MarketAxess (MKTX),"MarketAxess Holdings Inc., incorporated on April 11, 2000, operates an electronic trading platform that enables fixed-income market participants to trade corporate bonds and other types of fixed-income instruments using its ...See Company Profile ...Dividend History ...List of ETFs holding MKTX",$18.32,$482.52,61.31,6.9,"$18,320,000,000"
297) Take-Two Interactive Software (TTWO),"Take-Two Interactive Software, Inc., incorporated on October 30, 1993, is a developer, publisher and marketer of entertainment for consumers around the world. The Company develops and publishes products through its ...See Company Profile ...Dividend History ...List of ETFs holding TTWO",$18.31,$160.15,28.8,3.9,"$18,310,000,000"
298) Laboratory of America (LH),"Laboratory Corporation of America Holdings, incorporated on March 8, 1994, is a life sciences company that is integrated in guiding patient care, providing clinical laboratory and end-to-end drug development services. ...See Company Profile ...Dividend History ...List of ETFs holding LH",$18.31,$187.99,12.1,3.71,"$18,310,000,000"
299) Garmin (GRMN),"Garmin Ltd. (Garmin), incorporated on February 9, 2010, and subsidiaries offer global positioning system (GPS) navigation and wireless devices and applications. The Company operates through five segments: auto, aviation, fitness, ...See Company Profile ...Dividend History ...List of ETFs holding GRMN",$18.15,$94.93,20.73,4.88,"$18,150,000,000"
300) Vulcan Materials (VMC),"Vulcan Materials Company, incorporated on February 14, 2007, is a supplier of construction aggregates (primarily crushed stone, sand and gravel) and a producer of asphalt mix and ready-mixed concrete. The ...See Company Profile ...Dividend History ...List of ETFs holding VMC",$18.12,$136.80,27.53,4.7,"$18,120,000,000"
301) ConAgra Foods (CAG),"Conagra Brands, Inc., formerly ConAgra Foods, Inc., incorporated on December 5, 1975, operates as a packaged food company. The Company operates through two segments: Consumer Foods and Commercial Foods. The ...See Company Profile ...Dividend History ...List of ETFs holding CAG",$18.02,$36.88,14.24,1.72,"$18,020,000,000"
302) Cooper Companies (COO),"The Cooper Companies, Inc., incorporated on March 4, 1980, is a global medical device company. The Company operates through two business units: CooperVision, Inc. and CooperSurgical, Inc. CooperVision offers soft ...See Company Profile ...Dividend History ...List of ETFs holding COO",$17.89,$335.43,26.54,5.6,"$17,890,000,000"
303) Maxim Integrated Products (MXIM),"Maxim Integrated Products, Inc., incorporated on August 19, 1987, is engaged in designing, developing, manufacturing and marketing a range of linear and mixed-signal integrated circuits, referred to as analog circuits. ...See Company Profile ...Dividend History ...List of ETFs holding MXIM",$17.75,$66.38,24.49,2.41,"$17,750,000,000"
304) Akamai (AKAM),"Akamai Technologies, Inc., incorporated on August 20, 1998, is engaged in providing cloud services for delivering, optimizing and securing content and business applications over the Internet. As of December 31, ...See Company Profile ...Dividend History ...List of ETFs holding AKAM",$17.67,$108.61,19.82,3.3,"$17,670,000,000"
305) CMS Energy (CMS),"CMS Energy Corporation (CMS Energy), incorporated on February 26, 1987, is an energy company operating primarily in Michigan. The Company operates through three segments: electric utility, which consists of regulated ...See Company Profile ...Dividend History ...List of ETFs holding CMS",$17.65,$61.66,21.64,2.64,"$17,650,000,000"
306) Hologic (HOLX),"Hologic, Inc., incorporated on January 18, 1990, is a developer, manufacturer and supplier of diagnostics products, medical imaging systems and surgical products with an emphasis on womens health. The Company ...See Company Profile ...Dividend History ...List of ETFs holding HOLX",$17.32,$66.88,15.74,1.87,"$17,320,000,000"
307) Amcor PLC (AMCR),"Amcor plc is a global packaging company. It develops and produces flexible packaging, rigid containers, specialty cartons, closures and services for food, beverage, pharmaceutical, medical-device, home and personal-care, and other products....See Company Profile ...Dividend History ...List of ETFs holding AMCR",$17.32,$11.04,16.24,0.31,"$17,320,000,000"
308) Kansas City Southern (KSU),"Kansas City Southern, a transportation holding company, provides domestic and international rail transportation services in North America. The company serves a ten-state region in the midwest and southeast regi...See Company Profile ...Dividend History ...List of ETFs holding KSU",$17.07,$180.92,21.88,5.85,"$17,070,000,000"
309) Domino's Pizza (DPZ),"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza delivery company in the United States and internationally. It operates in three segments: U.S. Stores, International Franchise, and ...See Company Profile ...Dividend History ...List of ETFs holding DPZ",$17.07,$433.78,33.24,11.22,"$17,070,000,000"
310) Twenty-First Century Fox (FOXA),"Twenty-First Century Fox, Inc., incorporated on October 23, 2003, is a media and entertainment company. The Companys segments include Cable Network Programming; Television; Filmed Entertainment, and Other, Corporate and Eliminations. ...See Company Profile ...Dividend History ...List of ETFs holding FOXA",$16.82,$28.08,12.59,1.62,"$16,820,000,000"
311) Twenty-First Century Fox (FOX),"Twenty-First Century Fox, Inc., incorporated on October 23, 2003, is a media and entertainment company. The Companys segments include Cable Network Programming; Television; Filmed Entertainment, and Other, Corporate and Eliminations. ...See Company Profile ...Dividend History ...List of ETFs holding FOX",$16.76,$28.17,11.99,1.62,"$16,760,000,000"
312) Etsy (ETSY),"Etsy, Inc. operates Etsy.com, a commerce platform to make, sell, and buy goods online and offline primarily in the United States, United Kingdom, Canada, Australia, France, and Germany. It provides va...See Company Profile ...Dividend History ...List of ETFs holding ETSY",$16.67,$131.63,62.09,1.28,"$16,670,000,000"
313) Citrix (CTXS),"Citrix Systems, Inc., incorporated on April 17, 1989, offers Enterprise and Service Provider products, which include Workspace Services solutions and Delivery Networking products. The Companys Enterprise and Service Provider products ...See Company Profile ...Dividend History ...List of ETFs holding CTXS",$16.66,$134.89,21.76,5.94,"$16,660,000,000"
314) Ventas (VTR),"Ventas, Inc., an S&P 500 company, is a leading real estate investment trust. Its diverse portfolio of approximately 1,200 assets in the United States, Canada and the United Kingdom consists of seniors...See Company Profile ...Dividend History ...List of ETFs holding VTR",$16.64,$44.61,89.22,1.09,"$16,640,000,000"
315) Valero Energy (VLO),"Valero Energy Corporation (Valero), incorporated on June 8, 1981, is an independent petroleum refiner and ethanol producer. The Companys segments include refining, ethanol and Valero Energy Partners LP (VLP). The ...See Company Profile ...Dividend History ...List of ETFs holding VLO",$16.61,$40.73,16.9,2.6,"$16,610,000,000"
316) Tractor Supply (TSCO),"Tractor Supply Company operates rural lifestyle retail stores in the United States. The company offers a selection of merchandise, including equine, livestock, pet, and small animal products necessary...See Company Profile ...Dividend History ...List of ETFs holding TSCO",$16.34,$140.62,22.36,5.82,"$16,340,000,000"
317) Arista Networks (ANET),"Arista Networks, Inc., incorporated on December 2, 2011, is a supplier of cloud networking solutions that use software innovations to address the needs of Internet companies, cloud service providers and ...See Company Profile ...Dividend History ...List of ETFs holding ANET",$16.34,$203.90,21.11,9.4,"$16,340,000,000"
318) Northern Trust (NTRS),"Northern Trust Corporation, incorporated on August 23, 1971, is a financial holding company. The Company provides asset servicing, fund administration, asset management, fiduciary and banking solutions for corporations, institutions, families ...See Company Profile ...Dividend History ...List of ETFs holding NTRS",$16.32,$78.41,13.27,6.43,"$16,320,000,000"
319) CBRE Group (CBRE),"CBRE Group, Inc., incorporated on February 20, 2001, is a holding company that conducts all of its operations through its subsidiaries. The Company operates as a commercial real estate services and investment company. ...List of ETFs holding CBRE",$16.12,$48.07,15.71,3.38,"$16,120,000,000"
320) Synchrony Financial (SYF),"Synchrony Financial (Synchrony), incorporated on September 12, 2003, is a consumer financial services company. The Company provides a range of credit products through programs it has established with a group ...See Company Profile ...Dividend History ...List of ETFs holding SYF",$16.03,$27.46,9.74,3.36,"$16,030,000,000"
321) FirstEnergy (FE),"FirstEnergy Corp., incorporated on September 17, 1996, is a holding company. The Company is engaged in holding, directly or indirectly, all of the outstanding equity of its principal subsidiaries, which ...See Company Profile ...Dividend History ...List of ETFs holding FE",$16,$29.52,11.22,1.23,"$16,000,000,000"
322) International Paper (IP),"International Paper Company, incorporated on June 23, 1941, is a paper and packaging company with primary markets and manufacturing operations in North America, Europe, Latin America, Russia, Asia, Africa and ...See Company Profile ...Dividend History ...List of ETFs holding IP",$15.91,$40.48,16,1.61,"$15,910,000,000"
323) Dover (DOV),"Dover Corporation, incorporated on April 22, 1947, is a diversified global manufacturer, delivering equipment and components, specialty systems, consumable supplies, software and digital solutions and support services. The Company operates ...See Company Profile ...Dividend History ...List of ETFs holding DOV",$15.84,$110.05,18.56,4.61,"$15,840,000,000"
324) Carmax (KMX),"CarMax, Inc., through its subsidiaries, operates as a retailer of used vehicles in the United States. The company operates in two segments, CarMax Sales Operations and CarMax Auto Finance. It offers c...See Company Profile ...Dividend History ...List of ETFs holding KMX",$15.69,$95.55,17,4.17,"$15,690,000,000"
325) Varian Medical (VAR),"Varian Medical Systems, Inc., incorporated on January 22, 1976, is a manufacturer of medical devices and software for treating cancer and other medical conditions with radiotherapy, radiosurgery, proton therapy and ...See Company Profile ...Dividend History ...List of ETFs holding VAR",$15.67,$171.93,33.84,2.88,"$15,670,000,000"
326) Teleflex (TFX),"Teleflex Incorporated, incorporated on June 25, 1943, is a provider of medical technology products. The Company primarily designs, develops, manufactures and supplies single-use medical devices used by hospitals and healthcare ...See Company Profile ...Dividend History ...List of ETFs holding TFX",$15.63,$335.90,25.2,10.16,"$15,630,000,000"
327) Fifth Third Bancorp (FITB),"Fifth Third Bancorp, incorporated on October 7, 1974, is a bank holding company and a financial holding company. The Company conducts its principal lending, deposit gathering, transaction processing and service ...See Company Profile ...Dividend History ...List of ETFs holding FITB",$15.59,$21.89,11.23,1.95,"$15,590,000,000"
328) NVR (NVR),"NVR, Inc., incorporated on March 4, 1993, is engaged in the construction and sale of single-family detached homes, townhomes and condominium buildings. The Company also operates a mortgage banking and ...See Company Profile ...Dividend History ...List of ETFs holding NVR",$15.53,"$4,194.98",16.27,208.46,"$15,530,000,000"
329) Broadridge Financial (BR),"Broadridge Financial Solutions, Inc. (Broadridge), incorporated on December 6, 2006, is a provider of investor communications and technology-driven solutions to banks, broker-dealers, mutual funds and corporate issuers. The Companys segments ...See Company Profile ...Dividend History ...List of ETFs holding BR",$15.36,$133.41,22.27,3.95,"$15,360,000,000"
330) Healthpeak Properties (PEAK),"Healthpeak Properties, Inc. is a fully integrated real estate investment trust (REIT) and S&P 500 company. Healthpeak owns and develops high-quality real estate in the three private-pay healthcare asset classes of Life Science, Senior Housing and Medical Office, designed to provide stability through the inevitable industry cycles....See Company Profile ...Dividend History ...List of ETFs holding PEAK",$15.34,$28.50,0,0,"$15,340,000,000"
331) Quest Diagnostics (DGX),"Quest Diagnostics Incorporated, incorporated on September 20, 1996, is a provider of diagnostic information services. The Company operates through two businesses: Diagnostic Information Services and Diagnostic Solutions. The Diagnostic Information ...See Company Profile ...Dividend History ...List of ETFs holding DGX",$15.29,$113.87,12.69,5.51,"$15,290,000,000"
332) Xylem (XYL),"Xylem Inc. engages in the design, manufacture, and servicing of engineered products and solutions for the water and wastewater applications. It operates in three segments: Water Infrastructure, Applie...See Company Profile ...Dividend History ...List of ETFs holding XYL",$15.19,$84.43,32.23,1.39,"$15,190,000,000"
333) Zebra (ZBRA),"Zebra Technologies Corporation (Zebra), incorporated on July 10, 1991, designs, manufactures and sells a range of automatic identification and data capture (AIDC) products. The Companys AIDC products include mobile computers, ...See Company Profile ...Dividend History ...List of ETFs holding ZBRA",$15.09,$258.81,18.84,9.1,"$15,090,000,000"
334) Bio-Rad Laboratories (BIO),"Bio-Rad Laboratories, Inc. (Bio-Rad), incorporated on March 10, 1975, is a manufacturer and distributor of its life science research and clinical diagnostics products. The Company operates through two segments: Life ...See Company Profile ...Dividend History ...List of ETFs holding BIO",$15.09,$510.68,50.31,64.5,"$15,090,000,000"
335) Ingersoll-Rand (IR),"Ingersoll-Rand Public Limited Company, incorporated on April 1, 2009, provides products, services and solutions to improve the quality and comfort of air in homes and buildings, transport and protect food ...See Company Profile ...Dividend History ...List of ETFs holding IR",$15.05,$36.08,22.27,-0.54,"$15,050,000,000"
336) Expeditors (EXPD),"Expeditors International of Washington, Inc., incorporated on May 29, 1979, is a logistics company. The Company is a third-party logistics provider, and purchases cargo space from carriers, including airlines and ...See Company Profile ...Dividend History ...List of ETFs holding EXPD",$15.03,$89.65,23.53,3.52,"$15,030,000,000"
337) Dish Network (DISH),"DISH Network Corporation, incorporated on April 26, 1995, is a holding company. The Company operates through two segments: Pay-TV and Broadband, and Wireless. The Company offers pay-TV services under the ...See Company Profile ...Dividend History ...List of ETFs holding DISH",$15,$28.55,11.8,2.23,"$15,000,000,000"
338) Martin Marietta Materials (MLM),"Martin Marietta Materials, Inc., incorporated on November 12, 1993, is a supplier of aggregates products (crushed stone, sand, and gravel) used for the construction of infrastructure, nonresidential, and residential projects. ...See Company Profile ...Dividend History ...List of ETFs holding MLM",$14.98,$240.55,23.86,9.95,"$14,980,000,000"
339) Qorvo (QRVO),"Qorvo, Inc., incorporated on December 13, 2013, is a provider of technologies and radio frequency (RF) solutions for mobile, infrastructure and defense and aerospace applications. The Company designs, develops, manufactures ...See Company Profile ...Dividend History ...List of ETFs holding QRVO",$14.92,$130.57,16.28,3.31,"$14,920,000,000"
340) Campbell Soup (CPB),"Campbell Soup Company, together with its subsidiaries, manufactures and markets branded food and beverage products. It operates through three segments: Americas Simple Meals and Beverages, Global Bisc...See Company Profile ...Dividend History ...List of ETFs holding CPB",$14.75,$48.81,16.32,5.36,"$14,750,000,000"
341) STERIS (STE),"STERIS plc provides infection prevention and other procedural products and services. The Company operates through four segments: Healthcare Products, which offers infection prevention and procedural solutions for healthcare providers, including ...See Company Profile ...Dividend History ...List of ETFs holding STE",$14.69,$172.67,26.77,4.8,"$14,690,000,000"
342) Extra Space Storage (EXR),"Extra Space Storage Inc., incorporated on April 30, 2004, is a self-administered and self-managed real estate investment trust (REIT). The Company owns, operates, manages, acquires, develops and redevelops self-storage properties ...See Company Profile ...Dividend History ...List of ETFs holding EXR",$14.55,$112.39,35.45,3.32,"$14,550,000,000"
343) Masco (MAS),"Masco Corporation, incorporated on June 15, 1962, designs, manufactures, markets and distributes branded home improvement and building products. The Company operates through four business segments: Plumbing Products, Decorative Architectural Products, ...See Company Profile ...Dividend History ...List of ETFs holding MAS",$14.40,$55.29,18.74,4.81,"$14,400,000,000"
344) Duke Realty (DRE),"Duke Realty Corporation, incorporated on March 12, 1992, is a self-managed real estate investment trust (REIT). The Company and Duke Realty Limited Partnership (Partnership) collectively specialize in the ownership, management ...See Company Profile ...Dividend History ...List of ETFs holding DRE",$14.24,$38.44,66.28,1.01,"$14,240,000,000"
345) Pioneer Natural Resources (PXD),"Pioneer Natural Resources Company (Pioneer), incorporated on April 2, 1997, is an oil and gas exploration and production company. The Company explores for, develops and produces oil, natural gas liquids ...See Company Profile ...Dividend History ...List of ETFs holding PXD",$14.22,$86.54,18.14,2.54,"$14,220,000,000"
